                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5754,                 2.3535,                 1.3124,                 1.4551,                0.65977,                   0.56,                0.60793,                0.30444,                0.66851,                  0.565,                0.62341,                0.30721,                 1.7441,                 2.6437,                  1.503,                 1.6304,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4752,                 2.3023,                 1.2666,                 1.3922,                 0.6169,                0.56361,                0.59125,                0.27818,                0.62116,                0.56569,                0.61356,                 0.2861,                  1.806,                 2.9216,                 1.6201,                 1.6934,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5472,                 2.3076,                 1.2742,                 1.4303,                0.70217,                   0.55,                0.63038,                0.30606,                 0.7032,                0.55678,                0.63629,                0.28481,                 1.8766,                 2.8763,                  1.629,                  1.648,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4903,                  2.228,                 1.2596,                  1.376,                0.66335,                   0.53,                0.59686,                0.26663,                0.64846,                   0.52,                0.57544,                0.25009,                 1.8342,                 3.0473,                 1.6184,                 1.6581,               0.001505,               0.001505,               0.001505
                     28,                 1.4633,                 2.2218,                  1.253,                 1.3703,                0.71922,                  0.525,                0.60903,                0.31572,                0.72607,                   0.53,                0.60355,                0.31589,                 1.7148,                 2.7448,                 1.6153,                 1.5687,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.4276,                 2.1487,                 1.2026,                 1.3688,                0.72358,                   0.56,                0.66112,                0.35384,                0.71812,                  0.555,                0.66085,                0.33604,                 1.6433,                 2.7311,                 1.3884,                 1.5259,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4755,                 2.1503,                 1.1881,                 1.3716,                0.75731,                  0.565,                0.66463,                0.32054,                0.74745,                0.54752,                0.63628,                 0.3015,                 1.7744,                 2.9012,                 1.4411,                  1.612,              0.0014456,              0.0014456,              0.0014456
                     31,                  1.421,                 2.1712,                 1.1639,                 1.3645,                0.72689,                  0.595,                0.70804,                 0.3633,                0.75745,                   0.61,                0.71801,                0.35797,                  1.653,                 2.5645,                 1.2773,                 1.5293,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4178,                 2.1857,                 1.1494,                 1.3527,                0.73084,                0.63808,                0.72128,                0.36628,                0.73084,                0.63808,                0.72061,                0.37355,                 1.7077,                 2.5793,                 1.2829,                 1.5524,               0.001406,               0.001406,               0.001406
                     33,                 1.4564,                 2.1063,                 1.1024,                 1.3498,                0.76646,                   0.58,                0.72211,                0.37153,                0.77307,                  0.585,                0.72469,                0.36876,                 1.6945,                 2.5713,                 1.2431,                   1.53,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3956,                 2.0761,                 1.1249,                 1.3485,                0.74303,                  0.615,                 0.6891,                0.35835,                0.75728,                   0.63,                0.69837,                 0.3416,                 1.6931,                 2.6253,                 1.3142,                 1.5357,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4325,                 2.1598,                  1.122,                 1.3482,                0.71699,                0.53202,                0.61618,                0.32159,                0.71495,                   0.53,                0.60288,                0.31062,                 1.7553,                 2.7279,                 1.4841,                 1.6258,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4476,                 2.1065,                 1.1461,                 1.3503,                0.70165,                  0.605,                0.68268,                0.36713,                0.70298,                0.60353,                0.68696,                0.35673,                 1.7201,                 2.6319,                 1.2969,                 1.5619,              0.0013268,              0.0013268,              0.0013268
